@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute width-1 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1337,'2018/12/11 18:59:58:374',5,14.982845,1
1338,'2018/12/11 18:59:58:407',5,15.093143,1
1339,'2018/12/11 18:59:58:441',5,15.120916,1
1340,'2018/12/11 18:59:58:475',5,15.030091,1
1341,'2018/12/11 18:59:58:508',5,15.032883,1
1342,'2018/12/11 18:59:58:640',5,14.693172,1
1343,'2018/12/11 18:59:58:651',5,14.662019,1
1344,'2018/12/11 18:59:58:675',5,14.506153,1
1345,'2018/12/11 18:59:58:706',5,14.571826,1
1346,'2018/12/11 18:59:58:742',5,14.489556,1
1347,'2018/12/11 18:59:58:775',5,14.693412,1
1348,'2018/12/11 18:59:58:806',5,14.756815,1
1349,'2018/12/11 18:59:58:840',5,14.755095,1
1350,'2018/12/11 18:59:58:874',5,14.871761,1
1351,'2018/12/11 18:59:58:906',5,14.793985,1
1352,'2018/12/11 18:59:58:940',5,14.821296,1
1353,'2018/12/11 18:59:58:974',5,14.779435,1
1354,'2018/12/11 18:59:59:006',5,14.771208,1
1355,'2018/12/11 18:59:59:039',5,14.814437,1
1356,'2018/12/11 18:59:59:072',5,15.046544,1
1357,'2018/12/11 18:59:59:107',5,14.794253,1
1358,'2018/12/11 18:59:59:142',5,15.051575,1
1359,'2018/12/11 18:59:59:174',5,14.866633,1
1360,'2018/12/11 18:59:59:208',5,15.051262,1
1361,'2018/12/11 18:59:59:239',5,15.634915,1
1362,'2018/12/11 18:59:59:275',5,14.867158,1
1363,'2018/12/11 18:59:59:309',5,14.70929,1
1364,'2018/12/11 18:59:59:342',5,14.935044,1
1365,'2018/12/11 18:59:59:375',5,14.72186,1
1366,'2018/12/11 18:59:59:408',5,14.89145,1
1367,'2018/12/11 18:59:59:439',5,14.874145,1
1368,'2018/12/11 18:59:59:474',5,15.243711,1
1369,'2018/12/11 18:59:59:508',5,15.090232,1
1370,'2018/12/11 18:59:59:542',5,14.811985,1
1371,'2018/12/11 18:59:59:576',5,15.035562,1
1372,'2018/12/11 18:59:59:609',5,14.574479,1
1373,'2018/12/11 18:59:59:640',5,15.330741,1
1374,'2018/12/11 18:59:59:675',5,14.584106,1
1375,'2018/12/11 18:59:59:708',5,14.366375,1
1376,'2018/12/11 18:59:59:740',5,15.078629,1
1377,'2018/12/11 18:59:59:776',5,14.118163,1
1378,'2018/12/11 18:59:59:807',5,15.986579,1
1379,'2018/12/11 18:59:59:939',5,14.725468,1
1380,'2018/12/11 18:59:59:949',5,14.703397,1
1381,'2018/12/11 18:59:59:975',5,15.725828,1
1382,'2018/12/11 19:00:00:008',5,14.440879,1
1383,'2018/12/11 19:00:00:042',5,14.446078,1
1384,'2018/12/11 19:00:00:074',5,14.73259,1
1385,'2018/12/11 19:00:00:108',5,15.088171,1
1386,'2018/12/11 19:00:00:142',5,14.539165,1
1387,'2018/12/11 19:00:00:174',5,14.541471,1
1388,'2018/12/11 19:00:00:208',5,15.030355,1
1389,'2018/12/11 19:00:00:242',5,14.431555,1
1390,'2018/12/11 19:00:00:275',5,14.330693,1
1391,'2018/12/11 19:00:00:310',5,14.302509,1
1392,'2018/12/11 19:00:00:342',5,14.139695,1
1393,'2018/12/11 19:00:00:391',5,14.178439,1
1394,'2018/12/11 19:00:00:426',5,14.031825,1
1395,'2018/12/11 19:00:00:459',5,14.476424,1
1396,'2018/12/11 19:00:00:472',5,14.749107,1
1397,'2018/12/11 19:00:00:508',5,14.488855,1
1398,'2018/12/11 19:00:00:540',5,14.584661,1
1399,'2018/12/11 19:00:00:574',5,14.848933,1
1400,'2018/12/11 19:00:00:607',5,14.680623,1
1401,'2018/12/11 19:00:00:640',5,14.67586,1
1402,'2018/12/11 19:00:00:674',5,14.60638,1
1403,'2018/12/11 19:00:00:707',5,14.899765,1
1404,'2018/12/11 19:00:00:740',5,14.928037,1
1405,'2018/12/11 19:00:00:773',5,14.938241,1
1406,'2018/12/11 19:00:00:807',5,14.808283,1
1407,'2018/12/11 19:00:00:840',5,14.803802,1
1408,'2018/12/11 19:00:00:873',5,14.765642,1
1409,'2018/12/11 19:00:00:905',5,14.750017,1
1410,'2018/12/11 19:00:00:938',5,14.700705,1
1411,'2018/12/11 19:00:00:975',5,14.680048,1
1412,'2018/12/11 19:00:01:007',5,14.610189,1
1413,'2018/12/11 19:00:01:038',5,14.491626,1
1414,'2018/12/11 19:00:01:074',5,14.602003,1
1415,'2018/12/11 19:00:01:108',5,14.512376,1
1416,'2018/12/11 19:00:01:140',5,14.582659,1
1417,'2018/12/11 19:00:01:174',5,14.50161,1
1418,'2018/12/11 19:00:01:208',5,14.505263,1
1419,'2018/12/11 19:00:01:258',5,14.373726,1
1420,'2018/12/11 19:00:01:290',5,14.492511,1
1421,'2018/12/11 19:00:01:305',5,14.435633,1
1422,'2018/12/11 19:00:01:342',5,14.43059,1
1423,'2018/12/11 19:00:01:373',5,14.466861,1
1424,'2018/12/11 19:00:01:409',5,14.338556,1
1425,'2018/12/11 19:00:01:457',5,14.534668,1
1426,'2018/12/11 19:00:01:474',5,14.655808,1
1427,'2018/12/11 19:00:01:527',5,14.602621,1
1428,'2018/12/11 19:00:01:559',5,14.726005,2
1429,'2018/12/11 19:00:01:572',5,15.288917,2
1430,'2018/12/11 19:00:01:609',5,16.53175,2
1431,'2018/12/11 19:00:01:643',5,16.999983,2
1432,'2018/12/11 19:00:01:691',5,17.222412,2
1433,'2018/12/11 19:00:01:706',5,17.648104,2
1434,'2018/12/11 19:00:01:743',5,18.018808,2
1435,'2018/12/11 19:00:01:775',5,18.092993,2
1436,'2018/12/11 19:00:01:809',5,18.350571,2
1437,'2018/12/11 19:00:01:859',5,18.677483,2
1438,'2018/12/11 19:00:01:892',5,18.637312,2
1439,'2018/12/11 19:00:01:906',5,18.61742,2
1440,'2018/12/11 19:00:01:941',5,18.902185,2
1441,'2018/12/11 19:00:01:990',5,18.84635,2
1442,'2018/12/11 19:00:02:033',5,18.73057,2
1443,'2018/12/11 19:00:02:057',5,18.632418,2
1444,'2018/12/11 19:00:02:091',5,18.67812,2
1445,'2018/12/11 19:00:02:124',5,18.92424,2
1446,'2018/12/11 19:00:02:158',5,19.141932,2
1447,'2018/12/11 19:00:02:192',5,18.99614,2
1448,'2018/12/11 19:00:02:224',5,18.88987,2
1449,'2018/12/11 19:00:02:257',5,18.897139,2
1450,'2018/12/11 19:00:02:271',5,18.95594,2
1451,'2018/12/11 19:00:02:307',5,19.145912,2
1452,'2018/12/11 19:00:02:341',5,19.314369,2
1453,'2018/12/11 19:00:02:374',5,19.076077,2
1454,'2018/12/11 19:00:02:408',5,19.04759,2
1455,'2018/12/11 19:00:02:441',5,18.876806,2
